r	0000
d	00010
,	000110
I	000111000
M	000111001

	00011101
	00011110
;	0001111100000
L	0001111100001
O	000111110001
U	00011111001
Q	0001111101
S	000111111
e	001
n	0100
l	0101
v	011000
f	0110010
D	011001100
x	0110011010
j	0110011011
h	01100111
c	01101
a	0111
t	1000
s	1001
o	10100
m	10101
u	1011
 	110
p	111000
.	111001
b	1110100
g	1110101
V	1110110000
A	1110110001
N	111011001
C	1110110100
F	11101101010
E	11101101011
P	111011011
q	1110111
i	1111
